r_version	filename	url	size	sha256	backend_sha256
4.1	cuda.ml-0.4.0-r4.1-linux-x86_64-glibc2.28-cu13.tar.gz	https://github.com/mlverse/cuda.ml/releases/download/cuda-ml-backend-0.4.2/cuda.ml-0.4.0-r4.1-linux-x86_64-glibc2.28-cu13.tar.gz	2247866	be5c59e3d0af8faa0049cf2703a94659840b535d8c3db0095e1cc73e469d876d	cca2ac8c6437ab2f80649268b9866a871d3a6845a3470c98905558c426cbd222
4.2	cuda.ml-0.4.0-r4.2-linux-x86_64-glibc2.28-cu13.tar.gz	https://github.com/mlverse/cuda.ml/releases/download/cuda-ml-backend-0.4.2/cuda.ml-0.4.0-r4.2-linux-x86_64-glibc2.28-cu13.tar.gz	2246748	8d33cc5a29a68fa80057522819a4e93a5d7ee3561cfbe56a5b2b0541e80d8c0a	7bd1dd431f6047f23ef92f4b62722c8cbc61c01709e8914e9a0e3e69a9e23e84
4.3	cuda.ml-0.4.0-r4.3-linux-x86_64-glibc2.28-cu13.tar.gz	https://github.com/mlverse/cuda.ml/releases/download/cuda-ml-backend-0.4.2/cuda.ml-0.4.0-r4.3-linux-x86_64-glibc2.28-cu13.tar.gz	2246819	7cae80fe406f84eb86878b8a5da56c5ba0e85cf2b4dda5ea4540e8a3f7eb3b84	13d02e78d11688e93ced612c63bbb3f5e70946883abbf4c93b4a33abbbbaeb7c
4.4	cuda.ml-0.4.0-r4.4-linux-x86_64-glibc2.28-cu13.tar.gz	https://github.com/mlverse/cuda.ml/releases/download/cuda-ml-backend-0.4.2/cuda.ml-0.4.0-r4.4-linux-x86_64-glibc2.28-cu13.tar.gz	2246813	cb18d7ac2f28dfe0f0d345b3713cc20366ff9eefb790f8894aaa20e5af486f90	379f9d386911e6a8a7ea7b1dbb1444484e944be1c98c5777e5eda2c8f9938698
4.5	cuda.ml-0.4.0-r4.5-linux-x86_64-glibc2.28-cu13.tar.gz	https://github.com/mlverse/cuda.ml/releases/download/cuda-ml-backend-0.4.2/cuda.ml-0.4.0-r4.5-linux-x86_64-glibc2.28-cu13.tar.gz	2246753	a3df26a6eae97e6e10191ec5e6b5603454345a388db857e8615eaf8d2d94df39	8607368945a1d927ff7b044a1da11078282929f0a6744341cc2c165552f6fef4
4.6	cuda.ml-0.4.0-r4.6-linux-x86_64-glibc2.28-cu13.tar.gz	https://github.com/mlverse/cuda.ml/releases/download/cuda-ml-backend-0.4.2/cuda.ml-0.4.0-r4.6-linux-x86_64-glibc2.28-cu13.tar.gz	2247883	e4adb1f5c0ab84e262138735904f249398afc6c417d255d7b2d5183d4319f1d1	3afe0d74b5eb0eeb31cde1b3385db6b6a1aa7316e8a224a14d2b33edd6bd52c9
